PREDICTIT_ID,PREDICTIT_CONTRACT_ID,IMAGE,END_DATE,CONTRACT_NAME,CONTRACT_STATUS_NAME,CONTRACT_SHORT_NAME,LAST_TRADE_PRICE,BEST_BUY_YES_COST,BEST_BUY_NO_COST,BEST_SELL_YES_COST,BEST_SELL_NO_COST,LAST_CLOSE_PRICE
7024,24628,""https://az620379.vo.msecnd.net/images/Contracts/small_7ff9f1b5-ab35-4b51-a013-0629cd1eb09e.png"",""NA"",""Republican"",""Open"",""Republican"",0.89,0.89,0.12,0.88,0.11,0.89
7024,24629,""https://az620379.vo.msecnd.net/images/Contracts/small_0a6f9243-552a-4f7a-a253-088af5e83a68.png"",""NA"",""Democratic"",""Open"",""Democratic"",0.13,0.14,0.87,0.13,0.86,0.14
7053,24782,""https://az620379.vo.msecnd.net/images/Contracts/small_20003de6-fa6b-4fb5-82be-aba2bc8c02f9.jpg"",""NA"",""Nikki Haley"",""Open"",""Haley"",0.05,0.06,0.95,0.05,0.94,0.05
7053,24783,""https://az620379.vo.msecnd.net/images/Contracts/small_58b5f881-b587-4333-880b-024bc39922e8.jpg"",""NA"",""Mike Pompeo"",""Open"",""Pompeo"",0.04,0.04,0.97,0.03,0.96,0.03
7053,24784,""https://az620379.vo.msecnd.net/images/Contracts/small_bbfdd2ed-95d5-43a3-bf5d-2403503705b0.jpg"",""NA"",""Mitt Romney"",""Open"",""Romney"",0.03,0.03,0.98,0.02,0.97,0.02
7053,24785,""https://az620379.vo.msecnd.net/images/Contracts/small_405ebd48-c0d6-45ba-896d-d5cc56b464b9.jpg"",""NA"",""Ted Cruz"",""Open"",""Cruz"",0.02,0.03,0.98,0.02,0.97,0.03
7053,24786,""https://az620379.vo.msecnd.net/images/Contracts/small_851a6d14-5083-4680-91f6-419ec2d02a14.jpg"",""NA"",""Tucker Carlson"",""Open"",""Carlson"",0.03,0.03,0.98,0.02,0.97,0.03
7053,24787,""https://az620379.vo.msecnd.net/images/Contracts/small_36231f71-30ba-47c1-8f5d-c7481e014c11.jpg"",""NA"",""Donald Trump"",""Open"",""Trump"",0.34,0.35,0.66,0.34,0.65,0.36
7053,24788,""https://az620379.vo.msecnd.net/images/Contracts/small_9fbc3103-49b8-4f93-a1ce-79ff5fe31957.jpg"",""NA"",""Tom Cotton"",""Open"",""Cotton"",0.02,0.03,0.98,0.02,0.97,0.03
7053,24789,""https://az620379.vo.msecnd.net/images/Contracts/small_3074a2e1-9027-4c1c-a50f-18db9c0a9bd4.jpg"",""NA"",""Mike Pence"",""Open"",""Pence"",0.03,0.04,0.97,0.03,0.96,0.04
7053,24790,""https://az620379.vo.msecnd.net/images/Contracts/small_2badfab5-24b6-4e6d-8988-19c135639222.jpg"",""NA"",""Donald Trump Jr."",""Open"",""Trump Jr."",0.02,0.02,0.99,0.01,0.98,0.01
7053,24791,""https://az620379.vo.msecnd.net/images/Contracts/small_e3e5d1e1-db5f-4379-bf5b-af47e874e943.jpg"",""NA"",""Marco Rubio"",""Open"",""Rubio"",0.01,0.02,0.99,0.01,0.98,0.02
7053,24792,""https://az620379.vo.msecnd.net/images/Contracts/small_683be142-e62f-4597-bc39-00fb2e2cb373.jpg"",""NA"",""Josh Hawley"",""Open"",""Hawley"",0.03,0.03,0.98,0.02,0.97,0.03
7053,24793,""https://az620379.vo.msecnd.net/images/Contracts/small_958885c8-c04c-4ad3-b64e-fe33e9af83cc.jpg"",""NA"",""Tim Scott"",""Open"",""T. Scott"",0.02,0.03,0.98,0.02,0.97,0.03
7053,24794,""https://az620379.vo.msecnd.net/images/Contracts/small_e3ff1357-c8f6-4498-a5d6-12580eca75b7.jpg"",""NA"",""Rick Scott"",""Open"",""R. Scott"",0.01,0.02,0.99,0.01,0.98,0.01
7057,24807,""https://az620379.vo.msecnd.net/images/Contracts/small_4c64890a-503c-454c-b02e-732319f1459f.jpg"",""NA"",""Joe Biden"",""Open"",""Biden"",0.34,0.35,0.66,0.34,0.65,0.34
7057,24808,""https://az620379.vo.msecnd.net/images/Contracts/small_42e624ca-be5f-4c3e-8939-86bb42b0314d.jpg"",""NA"",""Kamala Harris"",""Open"",""Harris"",0.14,0.14,0.87,0.13,0.86,0.13
7057,24809,""https://az620379.vo.msecnd.net/images/Contracts/small_8ee3b203-848a-44c2-928f-a29fe97685bc.jpg"",""NA"",""Bernie Sanders"",""Open"",""Sanders"",0.04,0.04,0.97,0.03,0.96,0.03
7057,24810,""https://az620379.vo.msecnd.net/images/Contracts/small_b5d5cb16-9f8a-4cf0-a428-c84fda98a31d.jpg"",""NA"",""Hillary Clinton"",""Open"",""Clinton"",0.08,0.08,0.93,0.07,0.92,0.08
7057,24811,""https://az620379.vo.msecnd.net/images/Contracts/small_87412471-a5b6-4b74-bcc4-685106982248.jpg"",""NA"",""Pete Buttigieg"",""Open"",""Buttigieg"",0.1,0.11,0.9,0.1,0.89,0.1
7057,24812,""https://az620379.vo.msecnd.net/images/Contracts/small_322243ef-da30-4199-aef3-7bdf8175fbe4.jpg"",""NA"",""Elizabeth Warren"",""Open"",""Warren"",0.04,0.04,0.97,0.03,0.96,0.03
7053,24813,""https://az620379.vo.msecnd.net/images/Contracts/small_8d271559-d751-448d-bacb-1a209e714bd4.png"",""NA"",""Larry Hogan"",""Open"",""Hogan"",0.02,0.03,0.98,0.02,0.97,0.02
7053,24814,""https://az620379.vo.msecnd.net/images/Contracts/small_1d8cb077-b0ce-456e-aadc-57fc4d88dcd7.png"",""NA"",""Ron DeSantis"",""Open"",""DeSantis"",0.38,0.39,0.62,0.38,0.61,0.38
7053,24815,""https://az620379.vo.msecnd.net/images/Contracts/small_4b2b5732-b84d-4ac6-b7da-9d3790c691e0.png"",""NA"",""Kristi Noem"",""Open"",""Noem"",0.03,0.03,0.98,0.02,0.97,0.02
7057,24816,""https://az620379.vo.msecnd.net/images/Contracts/small_5b927e73-c6a1-474e-90b8-73e265392785.jpg"",""NA"",""A. Ocasio-Cortez"",""Open"",""AOC"",0.05,0.05,0.96,0.04,0.95,0.04
7085,24914,""https://az620379.vo.msecnd.net/images/Contracts/small_7ff9f1b5-ab35-4b51-a013-0629cd1eb09e.png"",""NA"",""Republican"",""Open"",""Republican"",0.73,0.73,0.28,0.72,0.27,0.74
7085,24915,""https://az620379.vo.msecnd.net/images/Contracts/small_0a6f9243-552a-4f7a-a253-088af5e83a68.png"",""NA"",""Democratic"",""Open"",""Democratic"",0.27,0.28,0.73,0.27,0.72,0.29
7107,25057,""https://az620379.vo.msecnd.net/images/Contracts/small_25f9219c-6d4c-4d09-9953-0b32550216f4.png"",""NA"",""Republican"",""Open"",""Republican"",0.41,0.42,0.59,0.41,0.58,0.41
7107,25058,""https://az620379.vo.msecnd.net/images/Contracts/small_04db95ab-2e1e-49af-8078-f990d0234487.jpg"",""NA"",""Democratic"",""Open"",""Democratic"",0.6,0.6,0.41,0.59,0.4,0.59
7112,25081,""https://az620379.vo.msecnd.net/images/Contracts/small_7ff9f1b5-ab35-4b51-a013-0629cd1eb09e.png"",""NA"",""Republican"",""Open"",""Republican"",0.37,0.38,0.63,0.37,0.62,0.39
7112,25082,""https://az620379.vo.msecnd.net/images/Contracts/small_0a6f9243-552a-4f7a-a253-088af5e83a68.png"",""NA"",""Democratic"",""Open"",""Democratic"",0.64,0.64,0.37,0.63,0.36,0.62
7117,25113,""https://az620379.vo.msecnd.net/images/Contracts/small_f71d955e-49ba-44b0-85ad-b9a257f78ab8.jpg"",""NA"",""Abdel Fattah Al-Sisi"",""Open"",""Al-Sisi"",0.01,0.01,null,null,0.99,0.01
7117,25114,""https://az620379.vo.msecnd.net/images/Contracts/small_e0023be2-e7bf-40e4-9064-b179836ea191.jpg"",""NA"",""Cyril Ramaphosa"",""Open"",""Ramaphosa"",0.01,0.02,0.99,0.01,0.98,0.01
7117,25115,""https://az620379.vo.msecnd.net/images/Contracts/small_2f2d319a-1390-4e68-85da-dfe04e7ec5ec.jpg"",""NA"",""Uhuru Kenyatta"",""Open"",""Kenyatta"",0.99,0.99,0.02,0.98,0.01,0.97
7117,25116,""https://az620379.vo.msecnd.net/images/Contracts/small_e030ac6a-4ab3-48cd-a530-14bcb99bc5ae.jpg"",""NA"",""Muhammadu Buhari"",""Open"",""Buhari"",0.01,0.01,null,null,0.99,0.01
7117,25117,""https://az620379.vo.msecnd.net/images/Contracts/small_74eef98a-cc13-4766-9214-7d18608bca3f.jpg"",""NA"",""Félix Tshisekedi"",""Open"",""Tshisekedi"",0.01,0.01,null,null,0.99,0.01
7117,25118,""https://az620379.vo.msecnd.net/images/Contracts/small_edc983dc-e55b-4ca3-9398-11defbfe68da.jpg"",""NA"",""Paul Kagame"",""Open"",""Kagame"",0.01,0.01,null,null,0.99,0.01
7117,25119,""https://az620379.vo.msecnd.net/images/Contracts/small_60861d4c-1fff-42c1-ae9b-a0f7e4b068c9.jpg"",""NA"",""Abiy Ahmed"",""Open"",""Ahmed"",0.01,0.01,null,null,0.99,0.02
7117,25120,""https://az620379.vo.msecnd.net/images/Contracts/small_5180eb7c-1bdc-4ae6-8332-a624032a7af0.jpg"",""NA"",""Emmerson Mnangagwa"",""Open"",""Mnangagwa"",0.01,0.01,null,null,0.99,0.01
7117,25121,""https://az620379.vo.msecnd.net/images/Contracts/small_8bc31c1e-9811-4653-be8f-e4b592230015.jpg"",""NA"",""Nana Akufo-Addo"",""Open"",""Akufo-Addo"",0.01,0.01,null,null,0.99,0.01
7117,25122,""https://az620379.vo.msecnd.net/images/Contracts/small_5aaa88c5-41db-404f-9491-ce7d5ab11ca4.jpg"",""NA"",""Abdelmadjid Tebboune"",""Open"",""Tebboune"",0.01,0.01,null,null,0.99,0.01
7118,25123,""https://az620379.vo.msecnd.net/images/Contracts/small_50d81599-27a9-4528-9640-dbd7cd92661c.png"",""NA"",""Will Marjorie Taylor Greene be re-elected to the House in 2022?"",""Open"",""Greene re-elected to the House in 2022?"",0.94,0.95,0.06,0.94,0.05,0.95
7130,25211,""https://az620379.vo.msecnd.net/images/Contracts/small_7ff9f1b5-ab35-4b51-a013-0629cd1eb09e.png"",""NA"",""Republican"",""Open"",""Republican"",0.27,0.29,0.73,0.27,0.71,0.27
7130,25212,""https://az620379.vo.msecnd.net/images/Contracts/small_0a6f9243-552a-4f7a-a253-088af5e83a68.png"",""NA"",""Democratic"",""Open"",""Democratic"",0.74,0.74,0.27,0.73,0.26,0.74
7131,25213,""https://az620379.vo.msecnd.net/images/Contracts/small_7ff9f1b5-ab35-4b51-a013-0629cd1eb09e.png"",""NA"",""Republican"",""Open"",""Republican"",0.49,0.49,0.52,0.48,0.51,0.49
7131,25214,""https://az620379.vo.msecnd.net/images/Contracts/small_0a6f9243-552a-4f7a-a253-088af5e83a68.png"",""NA"",""Democratic"",""Open"",""Democratic"",0.53,0.53,0.48,0.52,0.47,0.52
7132,25215,""https://az620379.vo.msecnd.net/images/Contracts/small_7ff9f1b5-ab35-4b51-a013-0629cd1eb09e.png"",""NA"",""Republican"",""Open"",""Republican"",0.57,0.58,0.43,0.57,0.42,0.59
7132,25216,""https://az620379.vo.msecnd.net/images/Contracts/small_0a6f9243-552a-4f7a-a253-088af5e83a68.png"",""NA"",""Democratic"",""Open"",""Democratic"",0.43,0.44,0.57,0.43,0.56,0.42
7136,25232,""https://az620379.vo.msecnd.net/images/Contracts/small_5f1bcacc-8162-4152-ab4a-475c68e7100c.jpg"",""2025-01-20T11:59:00"",""Will Joe Biden resign during his first term?"",""Open"",""Will Biden resign during his first term?"",0.25,0.25,0.76,0.24,0.75,0.25
7158,25409,""https://az620379.vo.msecnd.net/images/Contracts/small_c4e2bbd1-f530-4037-9713-2f77f217990c.jpg"",""NA"",""Iowa"",""Open"",""Iowa"",0.03,0.04,0.97,0.03,0.96,0.03
7158,25410,""https://az620379.vo.msecnd.net/images/Contracts/small_6cffeb7b-fc42-47bb-b764-a8c93163a41b.jpg"",""NA"",""Nevada"",""Open"",""Nevada"",0.35,0.37,0.65,0.35,0.63,0.35
7158,25411,""https://az620379.vo.msecnd.net/images/Contracts/small_e2170e96-4e62-4543-96f8-ee541143d508.jpg"",""NA"",""South Carolina"",""Open"",""South Carolina"",0.05,0.04,0.97,0.03,0.96,0.05
7158,25412,""https://az620379.vo.msecnd.net/images/Contracts/small_6908799e-f678-42a2-a637-9898f79ba842.jpg"",""NA"",""New Hampshire"",""Open"",""New Hampshire"",0.34,0.34,0.68,0.32,0.66,0.34
7172,25473,""https://az620379.vo.msecnd.net/images/Contracts/small_ac98de21-a475-43d0-9670-58c6476361ff.png"",""NA"",""Dem. House & Senate"",""Open"",""D House & Senate"",0.22,0.22,0.79,0.21,0.78,0.21
7172,25474,""https://az620379.vo.msecnd.net/images/Contracts/small_54348336-0cae-4a93-9248-15c75d4e7d54.png"",""NA"","""D House, R Senate""",""Open"","""D House, R Senate""",0.03,0.04,0.97,0.03,0.96,0.04
7172,25475,""https://az620379.vo.msecnd.net/images/Contracts/small_a1d1426f-ffca-4d16-bce1-0b0b126567a6.png"",""NA"",""Rep. House & Senate"",""Open"",""R House & Senate"",0.39,0.39,0.62,0.38,0.61,0.39
7172,25476,""https://az620379.vo.msecnd.net/images/Contracts/small_1ec3fffa-8fce-481f-bf2f-2df954c32fba.png"",""NA"","""R House, D Senate""",""Open"","""R House, D Senate""",0.46,0.47,0.54,0.46,0.53,0.47
7176,25494,""https://az620379.vo.msecnd.net/images/Contracts/small_7ff9f1b5-ab35-4b51-a013-0629cd1eb09e.png"",""NA"",""Republican"",""Open"",""Republican"",0.96,0.97,0.04,0.96,0.03,0.96
7176,25495,""https://az620379.vo.msecnd.net/images/Contracts/small_0a6f9243-552a-4f7a-a253-088af5e83a68.png"",""NA"",""Democratic"",""Open"",""Democratic"",0.02,0.03,0.98,0.02,0.97,0.02
7176,25496,""https://az620379.vo.msecnd.net/images/Contracts/small_1ea28260-66ce-4e9d-8da4-f0eaa96c4319.jpg"",""NA"",""Independent"",""Open"",""Independent"",0.01,0.02,0.99,0.01,0.98,0.01
7204,25698,""https://az620379.vo.msecnd.net/images/Contracts/small_7ff9f1b5-ab35-4b51-a013-0629cd1eb09e.png"",""NA"",""Republican"",""Open"",""Republican"",0.95,0.95,0.06,0.94,0.05,0.95
7204,25699,""https://az620379.vo.msecnd.net/images/Contracts/small_0a6f9243-552a-4f7a-a253-088af5e83a68.png"",""NA"",""Democratic"",""Open"",""Democratic"",0.05,0.06,0.95,0.05,0.94,0.05
7208,25711,""https://az620379.vo.msecnd.net/images/Contracts/small_7ff9f1b5-ab35-4b51-a013-0629cd1eb09e.png"",""NA"",""Republican"",""Open"",""Republican"",0.92,0.93,0.08,0.92,0.07,0.93
7208,25712,""https://az620379.vo.msecnd.net/images/Contracts/small_0a6f9243-552a-4f7a-a253-088af5e83a68.png"",""NA"",""Democratic"",""Open"",""Democratic"",0.06,0.08,0.94,0.06,0.92,0.07
7209,25714,""https://az620379.vo.msecnd.net/images/Contracts/small_923f3c24-017d-491e-80d9-abe0a0f3fc8b.jpg"",""2022-12-31T10:59:00"",""Will Xi Jinping be re-elected CCP General Secretary before 2023?"",""Open"",""Xi re-elected CCP Gen. Sec. before 2023?"",0.82,0.88,0.18,0.82,0.12,0.82
7210,25715,""https://az620379.vo.msecnd.net/images/Contracts/small_cd4545da-d0ed-4605-ad71-2c6ebdaf16fd.png"",""2022-12-31T10:59:00"",""Will Hu Chunhua be elected to the CCP Politburo Standing Committee before 2023?"",""Open"",""Hu Chunhua on Politburo St. Cte by 2023?"",0.82,0.82,0.23,0.77,0.18,0.82
7211,25716,""https://az620379.vo.msecnd.net/images/Contracts/small_1d8cb077-b0ce-456e-aadc-57fc4d88dcd7.png"",""NA"",""Ron DeSantis"",""Open"",""DeSantis"",0.92,0.92,0.09,0.91,0.08,0.92
7211,25717,""https://az620379.vo.msecnd.net/images/Contracts/small_5612d8e2-210c-4151-90ab-3a36b9a40675.jpg"",""NA"",""Val Demings"",""Open"",""Demings"",0.01,0.01,null,null,0.99,0.01
7211,25718,""https://az620379.vo.msecnd.net/images/Contracts/small_df8a4623-7f44-449a-b9a2-5262e0bbf4ec.jpg"",""NA"",""Charlie Crist"",""Open"",""Crist"",0.08,0.09,0.92,0.08,0.91,0.09
7211,25719,""https://az620379.vo.msecnd.net/images/Contracts/small_e8450a5e-eb91-472f-8295-19753657453b.jpg"",""NA"",""Nikki Fried"",""Open"",""Fried"",0.02,0.02,0.99,0.01,0.98,0.02
7254,26022,""https://az620379.vo.msecnd.net/images/Contracts/small_74d5f4a5-9b25-462d-b2bc-c5046beee5f4.jpg"",""NA"",""30 or more"",""Open"",""30 or more"",0.01,0.01,null,null,0.99,0.01
7254,26023,""https://az620379.vo.msecnd.net/images/Contracts/small_74d5f4a5-9b25-462d-b2bc-c5046beee5f4.jpg"",""NA"",""23 or fewer"",""Open"",""23 or fewer"",0.07,0.08,0.93,0.07,0.92,0.07
7254,26024,""https://az620379.vo.msecnd.net/images/Contracts/small_74d5f4a5-9b25-462d-b2bc-c5046beee5f4.jpg"",""NA"",""24"",""Open"",""24"",0.09,0.09,0.92,0.08,0.91,0.08
7254,26025,""https://az620379.vo.msecnd.net/images/Contracts/small_74d5f4a5-9b25-462d-b2bc-c5046beee5f4.jpg"",""NA"",""25"",""Open"",""25"",0.17,0.18,0.85,0.15,0.82,0.15
7254,26026,""https://az620379.vo.msecnd.net/images/Contracts/small_74d5f4a5-9b25-462d-b2bc-c5046beee5f4.jpg"",""NA"",""26"",""Open"",""26"",0.22,0.24,0.78,0.22,0.76,0.23
7254,26027,""https://az620379.vo.msecnd.net/images/Contracts/small_74d5f4a5-9b25-462d-b2bc-c5046beee5f4.jpg"",""NA"",""27"",""Open"",""27"",0.33,0.33,0.69,0.31,0.67,0.3
7254,26028,""https://az620379.vo.msecnd.net/images/Contracts/small_74d5f4a5-9b25-462d-b2bc-c5046beee5f4.jpg"",""NA"",""28"",""Open"",""28"",0.16,0.18,0.84,0.16,0.82,0.16
7254,26029,""https://az620379.vo.msecnd.net/images/Contracts/small_74d5f4a5-9b25-462d-b2bc-c5046beee5f4.jpg"",""NA"",""29"",""Open"",""29"",0.01,0.01,null,null,0.99,0.01
7257,26044,""https://az620379.vo.msecnd.net/images/Contracts/small_e53ee1c4-f18e-41b0-afbd-afed9c39c30a.png"",""NA"",""Geoff Diehl"",""Open"",""Diehl"",0.05,0.05,0.96,0.04,0.95,0.05
7257,26045,""https://az620379.vo.msecnd.net/images/Contracts/small_6a95c68b-1927-411d-9b68-83f255fb8e00.jpg"",""NA"",""Charlie Baker"",""Open"",""Baker"",0.01,0.01,null,null,0.99,0.01
7257,26046,""https://az620379.vo.msecnd.net/images/Contracts/small_66e66456-0b60-44df-bfab-2548fa8be2d0.png"",""NA"",""Karyn Polito"",""Open"",""Polito"",0.01,0.01,null,null,0.99,0.01
7257,26047,""https://az620379.vo.msecnd.net/images/Contracts/small_3e33df71-b815-4a72-9eb0-950692457664.png"",""NA"",""Benjamin Downing"",""Open"",""Downing"",0.01,0.01,null,null,0.99,0.01
7258,26054,""https://az620379.vo.msecnd.net/images/Contracts/small_2538363e-c75d-4f89-b497-e502e2a5b926.png"",""NA"",""Donald Bolduc"",""Open"",""Bolduc"",0.66,0.66,0.47,0.53,0.34,0.6
7258,26055,""https://az620379.vo.msecnd.net/images/Contracts/small_017c9c94-6f30-4762-aeac-437131342b91.png"",""NA"",""Kelly Ayotte"",""Open"",""Ayotte"",0.01,0.01,null,null,0.99,0.01
7258,26056,""https://az620379.vo.msecnd.net/images/Contracts/small_04ec1a37-809e-4e03-bcaf-cbd7274e7f4f.png"",""NA"",""Chris Sununu"",""Open"",""Sununu"",0.01,0.01,null,null,0.99,0.01
7257,26073,""https://az620379.vo.msecnd.net/images/Contracts/small_07b0976e-f773-4939-a7df-67ce126b0a12.png"",""NA"",""Maura Healey"",""Open"",""Healey"",0.96,0.96,0.06,0.94,0.04,0.96
7257,26074,""https://az620379.vo.msecnd.net/images/Contracts/small_86366eba-c951-4ff5-948f-5d31799839fa.png"",""NA"",""Sonia Chang-Díaz"",""Open"",""Chang-Díaz"",0.01,0.01,null,null,0.99,0.01
7257,26075,""https://az620379.vo.msecnd.net/images/Contracts/small_c0815948-f624-41d4-acc6-8b2c5cc9e188.png"",""NA"",""Ayanna Pressley"",""Open"",""Pressley"",0.01,0.01,null,null,0.99,0.01
7257,26076,""https://az620379.vo.msecnd.net/images/Contracts/small_4d2b0c18-01fd-4d9f-9f99-e4f740002295.png"",""NA"",""Danielle Allen"",""Open"",""Allen"",0.01,0.01,null,null,0.99,0.01
7257,26077,""https://az620379.vo.msecnd.net/images/Contracts/small_60cecb1e-823b-4b42-990b-b5d0d05688ee.jpg"",""NA"",""Joe Kennedy III"",""Open"",""Kennedy"",0.01,0.01,null,null,0.99,0.01
7257,26078,""https://az620379.vo.msecnd.net/images/Contracts/small_cb9c6b3f-9416-4718-a133-44d6b4bf7d2b.png"",""NA"",""Jay Gonzalez"",""Open"",""Gonzalez"",0.01,0.01,null,null,0.99,0.01
7266,26125,""https://az620379.vo.msecnd.net/images/Contracts/small_36231f71-30ba-47c1-8f5d-c7481e014c11.jpg"",""2022-12-31T23:59:00"",""Will Donald Trump file to run for president before the end of 2022?"",""Open"",""Trump files for President before 2023?"",0.54,0.55,0.48,0.52,0.45,0.52
7274,26153,""https://az620379.vo.msecnd.net/images/Contracts/small_6feaa717-2cc0-49da-850e-3974668c10d4.jpg"",""NA"",""Will Sen. Lisa Murkowski be re-elected in 2022?"",""Open"",""Will Murkowski be re-elected?"",0.88,0.89,0.12,0.88,0.11,0.88
7288,26255,""https://az620379.vo.msecnd.net/images/Contracts/small_5612d8e2-210c-4151-90ab-3a36b9a40675.jpg"",""NA"",""Val Demings"",""Open"",""Demings"",0.99,null,0.01,0.99,null,0.99
7288,26256,""https://az620379.vo.msecnd.net/images/Contracts/small_e5ee7537-6fd7-4e94-adfa-db165f7b14f8.png"",""NA"",""Stephanie Murphy"",""Open"",""Murphy"",0.01,0.01,null,null,0.99,0.01
7288,26257,""https://az620379.vo.msecnd.net/images/Contracts/small_c4b2bf43-806e-4523-ab5c-4903cbb9dab9.png"",""NA"",""Alan Grayson"",""Open"",""Grayson"",0.01,0.01,null,null,0.99,0.01
7326,26549,""https://az620379.vo.msecnd.net/images/Contracts/small_3c10062b-0942-4fc3-9ace-bb6abdb790ff.jpg"",""NA"",""Donald Trump"",""Open"",""Trump"",0.02,0.03,0.98,0.02,0.97,0.02
7326,26550,""https://az620379.vo.msecnd.net/images/Contracts/small_444bd468-8e17-452c-a31a-bc67b72006ab.png"",""NA"",""Steve Scalise"",""Open"",""Scalise"",0.06,0.07,0.94,0.06,0.93,0.06
7326,26551,""https://az620379.vo.msecnd.net/images/Contracts/small_16fcdbec-984f-4659-8699-ae6ad321de3f.jpg"",""NA"",""Kevin McCarthy"",""Open"",""McCarthy"",0.69,0.69,0.32,0.68,0.31,0.7
7326,26552,""https://az620379.vo.msecnd.net/images/Contracts/small_265fc4dc-6953-4eb9-ae2f-e00f9514603b.png"",""NA"",""Steny Hoyer"",""Open"",""Hoyer"",0.01,0.01,null,null,0.99,0.01
7326,26553,""https://az620379.vo.msecnd.net/images/Contracts/small_94022f5c-1fc4-4383-b80a-3972d131fad3.jpg"",""NA"",""Nancy Pelosi"",""Open"",""Pelosi"",0.11,0.12,0.89,0.11,0.88,0.11
7326,26554,""https://az620379.vo.msecnd.net/images/Contracts/small_e9423152-8426-4ad5-8d1a-27dddf5d9da0.png"",""NA"",""Elise Stefanik"",""Open"",""Stefanik"",0.03,0.04,0.97,0.03,0.96,0.03
